"TABLE 2. Average Tuition and Fees and Room and Board (Enrollment-Weighted) in Current Dollars and in 2018 Dollars, 1971-72 to 2018-19",,,,,,,,,,,,,,,
,Tuition and Fees in 2018 Dollars,,,,,,Tuition and Fees and Room and Board in 2018 Dollars,,,,,,,,
Academic Year,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,Public Two-Year,One-Year % Change,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,,,,,
71-72,"$11,330",—,"$2,660",—,"$1,180",—,"$18,140",—,"$8,730",—,,,,,
72-73,"$11,730",3.5%,"$3,010",13.2%,"$1,380",16.9%,"$18,580",2.4%,"$9,320",6.8%,,,,,
73-74,"$11,660",-0.6%,"$2,900",-3.7%,"$1,540",11.6%,"$18,320",-1.4%,"$9,100",-2.4%,,,,,
74-75,"$10,870",-6.8%,"$2,600",-10.3%,"$1,430",-7.1%,"$17,450",-4.7%,"$8,420",-7.5%,,,,,
75-76,"$10,650",-2.0%,"$2,510",-3.5%,"$1,160",-18.9%,"$17,110",-1.9%,"$8,280",-1.7%,,,,,
76-77,"$11,170",4.9%,"$2,740",9.2%,"$1,240",6.9%,"$17,570",2.7%,"$8,560",3.4%,,,,,
77-78,"$11,150",-0.2%,"$2,730",-0.4%,"$1,280",3.2%,"$17,520",-0.3%,"$8,430",-1.5%,,,,,
78-79,"$11,350",1.8%,"$2,650",-2.9%,"$1,270",-0.8%,"$17,680",0.9%,"$8,250",-2.1%,,,,,
79-80,"$11,140",-1.9%,"$2,550",-3.8%,"$1,240",-2.4%,"$17,270",-2.3%,"$8,030",-2.7%,,,,,
80-81,"$11,030",-1.0%,"$2,440",-4.3%,"$1,190",-4.0%,"$17,030",-1.4%,"$7,770",-3.2%,,,,,
81-82,"$11,310",2.5%,"$2,500",2.5%,"$1,180",-0.8%,"$17,410",2.2%,"$7,900",1.7%,,,,,
82-83,"$11,990",6.0%,"$2,660",6.4%,"$1,210",2.5%,"$18,430",5.9%,"$8,270",4.7%,,,,,
83-84,"$12,840",7.1%,"$2,900",9.0%,"$1,340",10.7%,"$19,580",6.2%,"$8,650",4.6%,,,,,
84-85,"$13,460",4.8%,"$2,980",2.8%,"$1,400",4.5%,"$20,460",4.5%,"$8,910",3.0%,,,,,
85-86,"$14,310",6.3%,"$3,090",3.7%,"$1,500",7.1%,"$20,810",1.7%,"$9,020",1.2%,,,,,
86-87,"$15,330",7.1%,"$3,250",5.2%,"$1,520",1.3%,"$22,670",8.9%,"$9,320",3.3%,,,,,
87-88,"$15,610",1.8%,"$3,300",1.5%,"$1,640",7.9%,"$23,160",2.2%,"$9,300",-0.2%,,,,,
88-89,"$17,010",9.0%,"$3,360",1.8%,"$1,700",3.7%,"$24,800",7.1%,"$9,480",1.9%,,,,,
89-90,"$17,540",3.1%,"$3,440",2.4%,"$1,700",0.0%,"$25,440",2.6%,"$9,560",0.8%,,,,,
90-91,"$18,050",2.9%,"$3,690",7.3%,"$1,760",3.5%,"$26,050",2.4%,"$9,800",2.5%,,,,,
